おおきい (i-adj)=big
ちいさい (i-adj)=small
あたらしい (i-adj)=new
ふらい (i-adj)=old
たかい (i-adj)=expensive;tall;high
やすい (i-adj)=cheap
いい (i-adj)=good
わるい (i-adj)=bad
おいしい (i-adj)=delicious
ますい (i-adj)=bad-testing
なかい (i-adj)=long
みじかい (i-adj)=short
ひろい (i-adj)=wide (space)
せまい (i-adj)=narrow (space)
むずかしい (i-adj)=difficult
やさしい (i-adj)=easy
おもしろい (i-adj)=interesting
つまらない (i-adj)=dull;boring
たのしい (i-adj)=enjoyable;fun
いそがしい (i-adj)=busy
あまい (i-adj)=sweet
からい (i-adj)=spicy;hot
暑い;あつい (i-adj)=hot (temperature)
寒い;さむい (i-adj)=cold (temperature)
熱い;あつい (i-adj)=hot (touch)
つめたい (i-adj)=cold (touch)
あたたかい (i-adj)=warm
すずしい (i-adj)=cool (not warm)
きたない (i-adj)=dirty
きびしい (i-adj)=strict
ほしい (i-adj)=to want
くらい (i-adj)=dark
あかるい (i-adj)=bright
おおい (i-adj)=many
はやい (i-adj)=speedy
ひま (na-adj)=free (time)
きれい (na-adj)=beautiful;clean
にぎやか (na-adj)=lively
しずか (na-adj)=quiet
ゆうめい (na-adj)=famous
べんり (na-adj)=convenient
げんき (na-adj)=fine;health
しんせつ (na-adj)=kind
たいへん (na-adj)=hard
かんたん (na-adj)=easy
すき (na-adj)=to like
きらい (na-adj)=to dislike
じょうず (na-adj)=to be good at
とくい (na-adj)=to be good at (for himself)
へた (na-adj)=to be bad at
