たべる (2)=to eat
のむ (1)=to drink
みる (2)=to watch;to see
きく (1)=to listen to
よむ (1)=to read
かう (1)=to buy
する (3)=to do
べんきょうする (3)=to study
けんきゅうする (3)=to research
じっけんする (3)=to experiment
おきる (2)=to get up
ねる (2)=to go to bed
いく (1)=to go
くる (3)=to come
かえる (1)=to return;to come back
かく (1)=to write
およぐ (1)=to swim
山のぼりをする (3)=to climb a mountain
ふる (1)=to fall
そっぎょうする (3)=to graduate
ある (1)=to have (inanimate)
いる (2)=to have (animate)
とる (1)=to take
はたらく (1)=to work
あう (1)=to meet
おくる (1)=to send
あげる (2)=to give
もらう (1)=to receive
きく (1)=to ask
おわる (1)=to end
やすむ (1)=to rest
のぼる (1)=to climb
ならう (1)=to learn
わかる (1)=to understand
おもう (1)=to think
